1398	1398	3908808	0.116789	116550	0.037160
1377	1377	3792258	0.079629	-116550	-0.037160
1413	1413	3993138	0.143332	200880	0.063703
1372	1372	3764768	0.070781	-228370	-0.072551
1395	1395	3892050	0.111481	127282	0.040699
1384	1384	3830912	0.092016	-61138	-0.019465
1372	1372	3764768	0.070781	-66144	-0.021234
1397	1397	3903218	0.115020	138450	0.044238
1375	1375	3781250	0.076090	-121968	-0.038930
1415	1415	4004450	0.146872	223200	0.070781
1381	1381	3814322	0.086707	-190128	-0.060164
1391	1391	3869762	0.104403	55440	0.017695
1397	1397	3903218	0.115020	33456	0.010617
1387	1387	3847538	0.097325	-55680	-0.017695
1416	1416	4010112	0.148641	162574	0.051317
1392	1392	3875328	0.106172	-134784	-0.042469
1391	1391	3869762	0.104403	-5566	-0.001770
1415	1415	4004450	0.146872	134688	0.042469
1402	1402	3931208	0.123868	-73242	-0.023004
1429	1429	4084082	0.171645	152874	0.047777
1390	1390	3864200	0.102633	-219882	-0.069012
1393	1393	3880898	0.107942	16698	0.005309
1410	1410	3976200	0.138024	95302	0.030082
1392	1392	3875328	0.106172	-100872	-0.031852
1421	1421	4038482	0.157489	163154	0.051317
1396	1396	3897632	0.113250	-140850	-0.044238
1387	1387	3847538	0.097325	-50094	-0.015926
1397	1397	3903218	0.115020	55680	0.017695
1390	1390	3864200	0.102633	-39018	-0.012387
1422	1422	4044168	0.159258	179968	0.056625
1389	1389	3858642	0.100864	-185526	-0.058395
1386	1386	3841992	0.095555	-16650	-0.005309
1400	1400	3920000	0.120328	78008	0.024774
1380	1380	3808800	0.084938	-111200	-0.035391
1416	1416	4010112	0.148641	201312	0.063703
1377	1377	3792258	0.079629	-217854	-0.069012
1390	1390	3864200	0.102633	71942	0.023004
1408	1408	3964928	0.134485	100728	0.031852
1365	1365	3726450	0.058395	-238478	-0.076090
1400	1400	3920000	0.120328	193550	0.061934
1373	1373	3770258	0.072551	-149742	-0.047777
1388	1388	3853088	0.099094	82830	0.026543
1376	1376	3786752	0.077860	-66336	-0.021234
1406	1406	3953672	0.130946	166920	0.053086
1388	1388	3853088	0.099094	-100584	-0.031852
1388	1388	3853088	0.099094	0	0.000000
1404	1404	3942432	0.127407	89344	0.028313
1390	1390	3864200	0.102633	-78232	-0.024774
1432	1432	4101248	0.176954	237048	0.074321
1388	1388	3853088	0.099094	-248160	-0.077860
1392	1392	3875328	0.106172	22240	0.007078
1411	1411	3981842	0.139793	106514	0.033621
1387	1387	3847538	0.097325	-134304	-0.042469
1415	1415	4004450	0.146872	156912	0.049547
1383	1383	3825378	0.090246	-179072	-0.056625
1381	1381	3814322	0.086707	-11056	-0.003539
1417	1417	4015778	0.150411	201456	0.063703
1389	1389	3858642	0.100864	-157136	-0.049547
1399	1399	3914402	0.118559	55760	0.017695
1378	1378	3797768	0.081399	-116634	-0.037160
1415	1415	4004450	0.146872	206682	0.065473
1389	1389	3858642	0.100864	-145808	-0.046008
1384	1384	3830912	0.092016	-27730	-0.008848
1403	1403	3936818	0.125637	105906	0.033621
1393	1393	3880898	0.107942	-55920	-0.017695
1414	1414	3998792	0.145102	117894	0.037160
1379	1379	3803282	0.083168	-195510	-0.061934
1378	1378	3797768	0.081399	-5514	-0.001770
1403	1403	3936818	0.125637	139050	0.044238
1383	1383	3825378	0.090246	-111440	-0.035391
1422	1422	4044168	0.159258	218790	0.069012
1384	1384	3830912	0.092016	-213256	-0.067242
1383	1383	3825378	0.090246	-5534	-0.001770
1401	1401	3925602	0.122098	100224	0.031852
1387	1387	3847538	0.097325	-78064	-0.024774
1418	1418	4021448	0.152180	173910	0.054856
1392	1392	3875328	0.106172	-146120	-0.046008
1387	1387	3847538	0.097325	-27790	-0.008848
1400	1400	3920000	0.120328	72462	0.023004
1385	1385	3836450	0.093785	-83550	-0.026543
1415	1415	4004450	0.146872	168000	0.053086
1386	1386	3841992	0.095555	-162458	-0.051317
1383	1383	3825378	0.090246	-16614	-0.005309
1395	1395	3892050	0.111481	66672	0.021234
1382	1382	3819848	0.088477	-72202	-0.023004
1412	1412	3987488	0.141563	167640	0.053086
1396	1396	3897632	0.113250	-89856	-0.028313
1383	1383	3825378	0.090246	-72254	-0.023004
1423	1423	4049858	0.161028	224480	0.070781
1382	1382	3819848	0.088477	-230010	-0.072551
1394	1394	3886472	0.109711	66624	0.021234
1382	1382	3819848	0.088477	-66624	-0.021234
1426	1426	4066952	0.166336	247104	0.077860
1379	1379	3803282	0.083168	-263670	-0.083168
1377	1377	3792258	0.079629	-11024	-0.003539
1402	1402	3931208	0.123868	138950	0.044238
1372	1372	3764768	0.070781	-166440	-0.053086
1414	1414	3998792	0.145102	234024	0.074321
1381	1381	3814322	0.086707	-184470	-0.058395
1399	1399	3914402	0.118559	100080	0.031852
1383	1383	3825378	0.090246	-89024	-0.028313
1409	1409	3970562	0.136254	145184	0.046008
1380	1380	3808800	0.084938	-161762	-0.051317
1393	1393	3880898	0.107942	72098	0.023004
1379	1379	3803282	0.083168	-77616	-0.024774
1415	1415	4004450	0.146872	201168	0.063703
