1313	1313	3447938	0.033621	3447938	0.033621
1488	1488	4428288	0.276048	980350	0.242426
1351	1351	3650402	0.033621	-777886	-0.242426
1328	1328	3527168	0.007078	-123234	-0.026543
1316	1316	3463712	0.028313	-63456	0.021234
1336	1336	3569792	0.007078	106080	-0.021234
1316	1316	3463712	0.028313	-106080	0.021234
1356	1356	3677472	0.042469	213760	0.014156
1336	1336	3569792	0.007078	-107680	-0.035391
1337	1337	3575138	0.008848	5346	0.001770
1325	1325	3511250	0.012387	-63888	0.003539
1319	1319	3479522	0.023004	-31728	0.010617
1322	1322	3495368	0.017695	15846	-0.005309
1313	1313	3447938	0.033621	-47430	0.015926
1314	1314	3453192	0.031852	5254	-0.001770
1333	1333	3553778	0.001770	100586	-0.030082
1330	1330	3537800	0.003539	-15978	0.001770
1318	1318	3474248	0.024774	-63552	0.021234
1332	1332	3548448	0.000000	74200	-0.024774
1317	1317	3468978	0.026543	-79470	0.026543
1327	1327	3521858	0.008848	52880	-0.017695
1328	1328	3527168	0.007078	5310	-0.001770
1332	1332	3548448	0.000000	21280	-0.007078
1364	1364	3720992	0.056625	172544	0.056625
1330	1330	3537800	0.003539	-183192	-0.053086
1329	1329	3532482	0.005309	-5318	0.001770
1315	1315	3458450	0.030082	-74032	0.024774
1373	1373	3770258	0.072551	311808	0.042469
1329	1329	3532482	0.005309	-237776	-0.067242
1341	1341	3596562	0.015926	64080	0.010617
1335	1335	3564450	0.005309	-32112	-0.010617
1362	1362	3710088	0.053086	145638	0.047777
1338	1338	3580488	0.010617	-129600	-0.042469
1314	1314	3453192	0.031852	-127296	0.021234
1336	1336	3569792	0.007078	116600	-0.024774
1337	1337	3575138	0.008848	5346	0.001770
1333	1333	3553778	0.001770	-21360	-0.007078
1349	1349	3639602	0.030082	85824	0.028313
1331	1331	3543122	0.001770	-96480	-0.028313
1327	1327	3521858	0.008848	-21264	0.007078
1330	1330	3537800	0.003539	15942	-0.005309
1335	1335	3564450	0.005309	26650	0.001770
1368	1368	3742848	0.063703	178398	0.058395
1330	1330	3537800	0.003539	-205048	-0.060164
1348	1348	3634208	0.028313	96408	0.024774
1330	1330	3537800	0.003539	-96408	-0.024774
1364	1364	3720992	0.056625	183192	0.053086
1337	1337	3575138	0.008848	-145854	-0.047777
1331	1331	3543122	0.001770	-32016	-0.007078
1334	1334	3559112	0.003539	15990	0.001770
1317	1317	3468978	0.026543	-90134	0.023004
1331	1331	3543122	0.001770	74144	-0.024774
1341	1341	3596562	0.015926	53440	0.014156
1335	1335	3564450	0.005309	-32112	-0.010617
1336	1336	3569792	0.007078	5342	0.001770
1346	1346	3623432	0.024774	53640	0.017695
1329	1329	3532482	0.005309	-90950	-0.019465
1344	1344	3612672	0.021234	80190	0.015926
1349	1349	3639602	0.030082	26930	0.008848
1329	1329	3532482	0.005309	-107120	-0.024774
1324	1324	3505952	0.014156	-26530	0.008848
1331	1331	3543122	0.001770	37170	-0.012387
1347	1347	3628818	0.026543	85696	0.024774
1333	1333	3553778	0.001770	-75040	-0.024774
1372	1372	3764768	0.070781	210990	0.069012
1333	1333	3553778	0.001770	-210990	-0.069012
1327	1327	3521858	0.008848	-31920	0.007078
1329	1329	3532482	0.005309	10624	-0.003539
1314	1314	3453192	0.031852	-79290	0.026543
1331	1331	3543122	0.001770	89930	-0.030082
1347	1347	3628818	0.026543	85696	0.024774
1335	1335	3564450	0.005309	-64368	-0.021234
1368	1368	3742848	0.063703	178398	0.058395
1329	1329	3532482	0.005309	-210366	-0.058395
1330	1330	3537800	0.003539	5318	-0.001770
1353	1353	3661218	0.037160	123418	0.033621
1363	1363	3715538	0.054856	54320	0.017695
1330	1330	3537800	0.003539	-177738	-0.051317
1331	1331	3543122	0.001770	5322	-0.001770
1336	1336	3569792	0.007078	26670	0.005309
1369	1369	3748322	0.065473	178530	0.058395
1328	1328	3527168	0.007078	-221154	-0.058395
1332	1332	3548448	0.000000	21280	-0.007078
1350	1350	3645000	0.031852	96552	0.031852
1332	1332	3548448	0.000000	-96552	-0.031852
1310	1310	3432200	0.038930	-116248	0.038930
1335	1335	3564450	0.005309	132250	-0.033621
1336	1336	3569792	0.007078	5342	0.001770
1330	1330	3537800	0.003539	-31992	-0.003539
1364	1364	3720992	0.056625	183192	0.053086
1336	1336	3569792	0.007078	-151200	-0.049547
1333	1333	3553778	0.001770	-16014	-0.005309
1351	1351	3650402	0.033621	96624	0.031852
1333	1333	3553778	0.001770	-96624	-0.031852
1317	1317	3468978	0.026543	-84800	0.024774
1326	1326	3516552	0.010617	47574	-0.015926
1341	1341	3596562	0.015926	80010	0.005309
1334	1334	3559112	0.003539	-37450	-0.012387
1361	1361	3704642	0.051317	145530	0.047777
1327	1327	3521858	0.008848	-182784	-0.042469
1339	1339	3585842	0.012387	63984	0.003539
1311	1311	3437442	0.037160	-148400	0.024774
1334	1334	3559112	0.003539	121670	-0.033621
